name	parent	child
XyloseDegradation	XyloseDegradation	K14275|K14274|K14273|K00078|K17743|K05351|K00854|K00011|K00008|K01805
SucroseDegradation	SucroseDegradation	K15922|K12317|K12316|K12047|K01203|K01193|K01187|K00690
NonSpecificHexoseSugar	NonSpecificHexoseSugar	K00844
MannoseDegradation	MannoseDegradation	K02796|K02795|K02794|K02793|K01809
LactoseDegradation	LactoseDegradation	K12309|K12112|K12111|K01190
GalacturonicAcidDegradation	GalacturonicAcidDegradation	K16850|K16849|K01685|K01625|K00874|K00041
GalactoseDegradation	GalactoseDegradation	K01785|K01784|K00965|K00849
FucoseDegradation	FucoseDegradation	K01818|K01628|K00879
FructoseDegradation	FructoseDegradation	K00847
Propionate	Propionate	K19697|K01026
Butyrate	Butyrate	K00634|K00929
Acetate	Acetate	K01896|K01067|K01905
Lactate	Lactate	K00101|K03777
Non-SpecificAlcohols	Non-SpecificAlcohols	K00121|K04072|K13951|K13952|K13953|K13980|K18857
SulfateReduction	SulfateReduction	Dsr
SulfateReduction	Dsr	K11180|EC1.8.99.5|K11181|EC1.8.99.5
SulfateReduction	Asr	K00380|EC1.8.1.2|K00381|EC1.8.1.2|K00392|EC1.8.7.1
FumarateReduction	FumarateReduction	K00244|K00245|K00246|K00247
Aerobic	Aerobic	[percent50CytochromeCOxidase|percent50CytochromeAa3600MenaquinolOxidase|percent50CytochromeOUbiquinolOxidase]&ETC50
Aerobic	CytochromeCOxidase	"K02275,K02274,K02276|K15408,K02277"
Aerobic	CytochromeAa3600MenaquinolOxidase	"K02827,K02826,K02828,K02829"
Aerobic	CytochromeOUbiquinolOxidase	"K02297,K02298,K02299,K02300"
TetrathionateReduction	TetrathionateReduction	[ttrrs&1ofttrabc]|2ofttrabc
TetrathionateReduction	ttrrs	K13040|K13041
TetrathionateReduction	ttrabc	"K08359,K08358,K08357"
Microaerophillic	Microaerophillic	[percent50CytochromeBDUbiquinolOxidase|percent50CytochromeCOxidaseCBB3]&ETC50
Microaerophillic	CytochromeBDUbiquinolOxidase	"K00425,K00426,K00424|K22501"
Microaerophillic	CytochromeCOxidaseCBB3	"K00404|K00405|K15862,K00407,K00406"
DenitrificationNotETC	DenitrificationNotETC	notETC50&[NitrateReductase|NitriteReductase|NitricOxideReductase|NitrousOxideReductase]
DenitrificationNotETC	NitrateReductase	K00370|K00371|K00374|K02567|K02568|EC1.7.5.1|EC1.9.6.1
DenitrificationNotETC	NitriteReductase	K00368|K15864|EC1.7.2.1
DenitrificationNotETC	NitricOxideReductase	K04561|K02305|EC1.7.2.5
DenitrificationNotETC	NitrousOxideReductase	K00376|EC1.7.2.4
ETC50	ETC50	percent50ComplexIA|percent50ComplexIB|percent50ComplexIC
ETC50	ComplexIA	"K00330,[K00331&K00332&[K00333|K00331]&[K13378|K13380]],K00334,K00335,K00336,K00337,K00338,K00339,K00340,[K00341&K00342|K15863],K00343"
ETC50	ComplexIB	"K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585"
ETC50	ComplexIC	"K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353"
TMAO	TMAO	K07811
